,title,pay_bracket,description
0,['Data Scientist - Machine Learning/ Computer Vision / NLP'],['Na'],"['Data Scientist - Machine Learning/ Computer Vision / NLP-20000SHB\n\n\nApplicants are required to read, write, and speak the following languages: English\n\nPreferred Qualifications\n\nPrincipal Member of Technical Staff - Digital Assistant and Bots Platform Team\n\nWe are a newly formed group within Oracle creating innovative products that leverage the power of AI and Machine Learning to bring world-class speech, vision and natural language capabilities to Oracle’s Digital Assistant platform. We are like a start-up inside a large company with a big charter and a lot of creative freedom. We have assembled some of the smartest people in the industry and are growing this team.\nIf you are looking for an exciting new opportunity as a data scientist to help solve difficult problems, be creative, create success for customers, and engage with the product team to do some innovative research and development, please review our profile.\n\nWe are looking for someone who is:\n\nExperienced with Machine Learning and AI especially deep learning models.\nExperienced with deep learning frameworks such as TensorFlow or PyTorch.\nExperienced with Conversational AI / Chatbots and/or Digital Assistants, including having developed a Chatbot or similar Digital Assistant is a plus.\nPh.D. degree in computer science on natural language processing, speech processing, computer vision is preferred but not a must. A strong publication record is a plus.\nPossesses excellent communication skills with an ability to explain and write specifications that embody complex concepts to stakeholders within the team.\nEager to work on a highly sellable, performance optimized infrastructure which elastically handles customer needs.\nAble to adapt to a fast-paced work environment and can quickly adjust to changing priorities.\nDetail oriented with a focus on quality of the product, data, and code.\nAn experienced engineer with 3+ years of professional development in Java, C#, C++ or Python. Java and Python preferred. JavaScript, Node.js, HTML/CSS and Mobile development on Android/iOS is a plus.\n\n\n\nDUTIES:\n\nKeep track of and experiment with state of the art dialog systems both from academia and industry to keep pushing the market competitiveness of ODA.\nInvolve in all steps of software life cycle such as planning, coding, testing and maintenance to productize developed models.\nInvolve in planning and budgeting product roadmap.\nWrite papers/reports and communicate results to stakeholders and customers.\nRequire to communicate and coordinate with ODA head office (California) and European team as necessary which may include travel and after-hour participation.\n\nDetailed Description and Job Requirements\n\nDesign, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.\n\nAs a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.\n\nWork is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.\n\nJob: Product Development\nLocation: AU-AU,Australia-Melbourne\nJob Type: Regular Employee Hire\nOrganization: Oracle']"
1,['Data Scientist'],"['$88,994 - $97,609 a year']","['The Opportunity\n\nTurning Point within the Eastern Health Clinical School is seeking to appoint a new Data Scientist to provide data management, analytic support and produce bespoke machine learning solutions to improve our national surveillance programs and our telehealth research programs.\n\nAs our new Data Scientist, you will work with our team to develop and maintain database systems to assist with the timely collection and collation of data and information. You will generate and develop automated user-friendly reports and data extraction applications, maintain statistical dashboards, analyse data and identify trends that inform decision-making processes.\n\nIdeally, we are seeking someone with advanced knowledge in the following areas:\n\n""Big"" data wrangling, management, visualisation and analysis\nDatabases, both relational and non-relational\nStatistical packages and statistical methods\nMachine learning theory and methodology\n\nThis role is a full-time position; however, flexible working arrangements may be negotiated.\n\nAt Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check.\n\nYour application must address the selection criteria. Please refer to ""How to apply for Monash Jobs"".\n\nEnquiries\n\nProfessor Dan Lubman, Professor of Addiction Studies & Services, +61 3 8413 8400\n\nPosition Description\n\n Data Scientist\n\nClosing Date\n\nThursday 3 December 2020, 11:55pm AEDT\n\nSupporting a diverse workforce']"
2,['Data Scientist'],"['$122,502 - $163,934 a year']","[""\nUtilise your experience standing up and leading data science functions to help drive the Victorian response to COVID-19\nFixed-term opportunity in the Victorian Public Service\nVPS Grade 6: $122,502 - $163,934 per year, plus superannuation\n\nWhat will the Data Scientist do?\nAs the Data Scientist, you will establish and leverage strong relationships with key stakeholders to define underlying business processes that generate data, and subsequently identify and implement the use of industry-leading datasets, machine learning tools and algorithms to improve operational systems and resolve issues. You will work collaboratively with a cross-functional team of analysts, report developers and engineers to develop innovative data models and products from proof-of-concept through to implementation and integration with existing systems and processes. You will leverage subject matter expertise in forecasting, statistics, econometric modelling, linear programming and other optimisation algorithms and quantitative techniques to translate stakeholder needs into business requirements, and develop technological solutions to achieve business outcomes across the broader Industry Enforcement Operations group.\nWithin this role, you will be a senior member of a small team of Intelligence specialists who ensures the High Risk Industry Engagement and Enforcement team and its stakeholders are supported with the appropriate intelligence, information and data to undertake their duties. You will make informed assessments and predictions to support decision making through reporting on high risk industry operations and outbreaks.\n\nSome of your duties will include:\n\nOwn the inception, design and implementation of data driven solutions and products in response to key business objectives, including classification, prediction and optimisation models, discovery of data patterns, and dashboard creation, that deliver business insight and optimise outcomes.\nEngage and consult with stakeholders across the broader High Risk Industry Engagement and Enforcement Operation to proactively identify and prioritise high-value areas and opportunities for the design and implementation of innovative data-driven technological solutions.\nLeverage best-practice approaches, research, and innovative thinking and analysis to shape and inform project deliverables, so as to inform the design of solutions and programs of work that deliver business insights and optimise outcomes\n\nTo learn more about this role before applying, please read the attached position description.\nWhat's in it for you\nTo thrive in this role, you will be intrinsically motivated by the challenge of work that can change constantly and prove very difficult. You will call on your intellect and grit every day. You will take your responsibility to keep Victorians safe seriously and will be proud of a job well done.\n\nAdditionally, you will likely appreciate:\n✔\u202fFree access to mental health service\u202f– personal and confidential counselling support on personal and work-related issues.\n✔A fair salary\u202f– enjoy great work conditions and salary sacrificing options for superannuation and motor vehicles.\n✔Transparent\u202fperformance framework\u202f– approach your work with confidence in how you're tracking, working to professional development plans with performance-based salary increases.\nClick here to discover more benefits in working for the department.\nIf this job sounds like a challenge you would love to take on, then we encourage you to apply now.\n\u202fIf you have any queries, please contact Cathy Bennett at Cathy.Bennett@justice.vic.gov.au\n\n\u202fThe Department of Justice and Community Safety is continually working towards increasing our\u202fAboriginal and Torres Strait Islander\u202f(Aboriginal) workforce. The Aboriginal Employment Team aims to attract, recruit and retain Aboriginal staff in a number of roles, including those in management. This support includes a culturally appropriate attraction and recruitment process. To learn more,\u202fclick here\u202for email\u202faboriginal.employment@justice.vic.gov.au.\nSuccessful candidates will be required to undergo pre-employment checks which may include national police checks and misconduct screening.\nApplications will be regularly reviewed up until the closing date, so please do not delay in submitting your application.""]"
3,['Data Scientist'],['Na'],"['Reference: 38739\nWe are seeking an enthusiastic Data Scientist to join the Performance Unit within Western Health. With the support of a team of intelligence and analytic specialists, this role will be responsible for establishing the use of data science applications at Western Health, and will work to incorporate machine and predictive analytics into operational practice. The Data Scientist will work closely with the business areas on several projects earmarked for this role including prediction of inpatient discharges and forecasting Emergency Department demand. The ideal candidate will have well-developed data management and analysis skills to work in a dynamic and high performing team environment. Prior work experience in public health industry preferred but not essential.\n\nTo be Successful in this Role you will have:\n\nRelevant tertiary qualification in Computer Science, Statistics/Mathematics, Data Science or related discipline\n\nProficient in an appropriate computer language such as R or Python, with ability to build algorithms Experience in machine learning techniques\n\nDeveloped skills in the extraction, analysis and reporting of data, with a high level of attention to detail\n\nAbility to develop strong working relationships with business stakeholders, with strong interpersonal and communication skills\n\nPossess the ability to manage competing demands with a structured approach to problem resolution\n\nDuties:\n\nLead the implementation of machine learning and predictive analytic initiatives at Western Health\n\nDesign, develop and implement predictive models using statistical modelling, machine learning and artificial intelligence\n\nSupport the data collection, analysis and reporting of data to assist business areas with decision-making and improve health outcomes\n\nProvide support to key stakeholders in relation to interpreting and analysing patient activity data and related performance metrics\n\nMeet and discuss with key stakeholders to gather requirements and assist with data model design\n\nAbout Us\n\nOur workforce of over 7,000 employees are driven by our values of ‘Compassion, Accountability, Respect, Excellence and Safety’ (CARES). We value our people and provide them the opportunity to grow and develop. Our teams are friendly and supportive, ensuring we deliver a safe, person-centred and connected patient experience.\n\nWestern Health comprises of three acute public hospitals: Footscray, Sunshine and Williamstown Hospital. We also operate the Joan Kirner Women’s and Children’s, Sunbury Day Hospital, Transition Care at Hazeldean and a range of community based services. We care for a diverse community of over 1 million people with complex care needs ranging from Neonates to Geriatrics.\n\nOur employees enjoy a wide range of benefits such as:\n\nProfessional development support\n\nCareer advancement opportunities\n\nSalary packaging including novated vehicle leasing\n\nWork-life balance\n\nWestern Health is an equal opportunity employer committed to attracting and retaining diversity in our workforce. We encourage applications from Aboriginal and Torres Strait Islander people.\n\nWestern Health is committed to providing a safe environment for the children and young people who are involved in our services, sites and operations. We follow and abide by all legislative requirements to keep children and young people safe.\n\nAll appointments are made subject to a satisfactory Police Record Check, an Immunisation status clearance and (if applicable) a Working with Children’s Check.\n\nWestern Health do not accept unsolicited resumes/applications from Recruitment Agencies.']"
4,['Data Scientist'],['Na'],"['We are seeking an enthusiastic Data Scientist to join the Performance Unit within Western Health. With the support of a team of intelligence and analytic specialists, this role will be responsible for establishing the use of data science applications at Western Health, and will work to incorporate machine and predictive analytics into operational practice. The Data Scientist will work closely with the business areas on several projects earmarked for this role including prediction of inpatient discharges and forecasting Emergency Department demand. The ideal candidate will have well-developed data management and analysis skills to work in a dynamic and high performing team environment. Prior work experience in public health industry preferred but not essential.\n\nTo be Successful in this Role you will have:\n\nRelevant tertiary qualification in Computer Science, Statistics/Mathematics, Data Science or related discipline\nProficient in an appropriate computer language such as R or Python, with ability to build algorithms Experience in machine learning techniques\nDeveloped skills in the extraction, analysis and reporting of data, with a high level of attention to detail\nAbility to develop strong working relationships with business stakeholders, with strong interpersonal and communication skills\nPossess the ability to manage competing demands with a structured approach to problem resolution\n\nDuties:\n\nLead the implementation of machine learning and predictive analytic initiatives at Western Health\nDesign, develop and implement predictive models using statistical modelling, machine learning and artificial intelligence\nSupport the data collection, analysis and reporting of data to assist business areas with decision-making and improve health outcomes\nProvide support to key stakeholders in relation to interpreting and analysing patient activity data and related performance metrics\nMeet and discuss with key stakeholders to gather requirements and assist with data model design\n\nAbout Us\n\nOur workforce of over 7,000 employees are driven by our values of ‘Compassion, Accountability, Respect, Excellence and Safety’ (CARES). We value our people and provide them the opportunity to grow and develop. Our teams are friendly and supportive, ensuring we deliver a safe, person-centred and connected patient experience.\n\nWestern Health comprises of three acute public hospitals: Footscray, Sunshine and Williamstown Hospital. We also operate the Joan Kirner Women’s and Children’s, Sunbury Day Hospital, Transition Care at Hazeldean and a range of community based services. We care for a diverse community of over 1 million people with complex care needs ranging from Neonates to Geriatrics.\n\nOur employees enjoy a wide range of benefits such as:\n\nProfessional development support\nCareer advancement opportunities\nSalary packaging including novated vehicle leasing\nWork-life balance\n\nWestern Health is an equal opportunity employer committed to attracting and retaining diversity in our workforce. We encourage applications from Aboriginal and Torres Strait Islander people.\n\nWestern Health is committed to providing a safe environment for the children and young people who are involved in our services, sites and operations. We follow and abide by all legislative requirements to keep children and young people safe.\n\nAll appointments are made subject to a satisfactory Police Record Check, an Immunisation status clearance and (if applicable) a Working with Children’s Check.\n\nWestern Health do not accept unsolicited resumes/applications from Recruitment Agencies.']"
5,['Data Scientist'],['Na'],"['We’re looking for a Data Scientist to join our growing Data Analytics team. The role aims to further push forward and expand our customer-related models. You would have the opportunity help drive real change in our sales and marketing efforts. This would be ideal for somebody who is passionate about data and analysis, and focused on the practical impact and end-use of a model. Rather than being siloed to one area, our goal is to make use of all the data and tools at our disposal. The current team is large enough to make an impact, but small enough to be flexible. We are continually looking to learn more, improve and expand, and are looking for candidates that have the same values.\nThe work involves the development of data models, data visualization, algorithms and automation scripts. You would interact heavily with the marketing, sales and business intelligence teams.\nWe need somebody who is detail oriented, focused on continually learning, and very importantly, must be proactive.\n\nQualities Needed:\nSelf-motivated and able to work independently\nAble to work efficiently with international staff\nAnalytical mind and good problem solving skills\nAble to deal with ambiguity in defining activities and direction\nProactive and persistent\nGood spoken and written English\nAble to work in a fast pace MNC culture environment.\nStrong experience working with various customer-related models (customer segmentation, lifetime value, markov chains, A/B testing)\nWorking with raw data from the main platforms marketing / sales platforms (Salesforce, Google Analytics and Ads/Display network, Social Media etc.)\nPython and/or R\nSQL\nUsing statistical, analytical and visualization skills to generate insights\nAutomating regular work flows\nVersion control software such as git\nStrong desire to learn new analytical skills and techniques']"
6,['Data Scientist'],['Na'],"['Requisition Title -\nData Scientist\nJob Number: - AUS121440\nDescription\n\nJob Title: Data Scientist\nLocation: Melbourne, VIC\n\nHelp shape the future of how we use data for decision-making\nGet stuck into our huge data sets to create solutions for our customers\nJoin a progressive organisation with the people and policies you want\n\nAt ANZ our purpose is to shape a world where people and communities thrive, and to achieve this we need a talented Data Scientist to join our Deposits Tribe. The Deposits Tribe is responsible for providing products that are simple, easy to use and enable our customers to bank with confidence. We do this through the design, manufacture and management of a simple range of savings & transaction products to bring the customer proposition to life for our customers. The ANZ Deposit Tribe is known for its great culture of collaboration, delivery, high performance and fun, supported by an approachable and inspiring leadership team. In joining this Tribe, you will be working with a group of highly engaged, diverse and interesting people.\nAs a Data Scientist, you will undertake extensive data analysis to identify root causes to complex business problems and identify opportunities. You understand the power of data to generate quality customer insight, identify patterns & trends, and make decisions. You will apply your strong technical skills to source and interrogate data across a range of platforms and domains. Combined with your business acumen, you will provide expert actionable advice and creative solutions suitable for the current business landscape and challenges.\nWhat a typical day might look like\nAs a Data Scientist in our Private Bank & Advice Proposition squad, your role is to provide data-led insight to support the creation of compelling propositions for our high net worth customers and satisfy their advisory needs of managing, growing, protecting, & distributing their wealth.\nLiaise with business stakeholders to sense check analysis results and workshop solutions\n\n\nWork in collaborative teams to explore business initiatives\nAttend daily stand-ups to align progress on your individual tasks\nExplore data on hand and identify data science opportunities\nSupport delivery of key analytic initiatives\n\nWhat will likely be in your toolkit?\nBackground and experience in product, marketing or analytical roles, preferably within the financial services industry\nAnalytical & problem-solving skills to understand the complexity of our data, and subsequently provide valuable insights\nHave a talent for crafting simple messages from complex information\nHands-on knowledge and experience with tools and techniques used in data science, analysis, data manipulation and visualisation (e.g. SAS, SQL, Python/R, Cloud technologies, Tableau)\nExperience in advanced analytical modelling (e.g. supervised/unsupervised machine learning), and its use in business contexts\nAnalytical and inquisitive mindset to continuously improve the level of insights through strong customer lens\nStrong ability to translate data insights into practical business recommendations\nThorough approach to detail, ensuring a high level of accuracy\nYou will have excellent interpersonal skills and the ability to build strong stakeholder relationships both internally and externally\nYou’re not expected to have 100% of these skills. At ANZ a growth mindset is at the heart of our culture and we actively encourage people to try new things. So if this role interests you and you feel you have most of these things in your toolbox, we’d love to hear from you.\nAbout ANZ\nWe’re reinventing the way we do banking, and our community of collaborative, innovative thinkers who create human centred solutions are helping us get there. We’re responding faster to changing customer requirements, focusing on the things that matter and helping people achieve incredible things – be it buying their home, building a business or saving for things big or small.\nWe support our people by providing a range of flexible working options so they can work in the way that best suits them. We encourage you to talk to us about your need for flexibility and any adjustments you may require to our recruitment process or the role itself.\nWe’ll also offer you the opportunity to develop your career, working in a diverse and inclusive workplace where the different backgrounds, perspectives and life experiences of our people are celebrated and create a great place to grow, thrive and belong.\nInterested in joining us? Click Apply now, or visit www.anz.com/careers to find out more or view other opportunities.\nReference number: AUS121440\n# G.D4.2']"
7,['Data Scientist'],['Na'],"['Description\nAt Veolia Australia and New Zealand, you’ll join a team of over 4000 passionate innovators... and good humans. Our environmental solutions help customers preserve and renew our natural resources, creating a better future for our planet. Here, you’ll have the opportunity to build your career, and resource the world.\nVeolia Australia & New Zealand (Veolia) has an exciting opportunity for a Data Scientist to join our Water Operations team based in our regional office in Melbourne. Reporting to the Project manager you will ensure the quality of the data we provide to our clients to help keep Australians safe. The role will be involved in multiple projects and support related testing across custom built applications.\n\nKey Responsibilities:\nResponsible for the implementation of artificial intelligence models predicting the location of future failures on the water, sewer and stormwater networks for existing and future projects\nResponsible for the improvement of the existing predictive models, for example through the use of recent machine-learning/deep-learning algorithms, etc.\nAccountable to investigate potential applications of the predictive models in collaboration with clients through trials/proofs of concepts.\nContribute to pre-offer studies, for example through data analysis.\nResponsible for monitoring the accuracy of our algorithm auto-coding videos.\nAssess and document the range of digital services needs and capabilities\nBuild relationships with potential partners, consultants, contractors and associations\nAbout You: Qualifications\nQualification in Data Science and Artificial Intelligence;\nMore than 5 years’ relevant industry experience, including a proven ability in artificial intelligence (machine learning and deep learning)\nTo be considered for this role, you must have:\nStrong knowledge of statistics;\nDemonstrated knowledge of python language;\nKnowledge of pandas and ski-kit learn libraries;\nOpen Class C drivers licence.\nAbout Veolia:\nAt Veolia we value diversity, equality and inclusion, we are committed to providing working environments where everyone is included and treated fairly and with respect. We welcome and encourage people of Aboriginal and Torres Strait Islander descent and people from diverse backgrounds to apply.']"
8,['Data Scientist'],['Na'],"[""About the business\nWe are proud to be part of Amplifon Group – the global leader in hearing healthcare. With over 16,000 employees located across 29 countries, we transform the way hearing healthcare is perceived and experienced worldwide, changing the lives of millions of customers through the passion and superior care of our People. We offer exclusive, all around, highly customised hearing care solutions and services, guiding our customers through their hearing journey to rediscover all the emotions of sound. Together, we make more possible everyday!\nAbout the role\nWe have a newly created opportunity for a Data Science leader to join our Marketing and CRM Function. Reporting to the Head of CRM and Operations, you will play a leadership role for data science across the organisation. With exposure to the entire business and customer journey, you will work to optimise marketing campaigns to generate business opportunity and growth.\nTo be successful you will have a curiosity streak, coupled with an ability to think critically and problem solve means that you always leave things in a much better state than what you found them in.\n\nThis is a great opportunity to lead how Amplifon approaches data science and optimise the end-to-end delivery of data and analytics by working across both projects and BaU in agile and traditional models.\n\nThe key accountabilities of the Data Scientist includes but not limited to:\nPlaying a key leadership role in the Amplifon data science community where you will focus on uplifting how Amplifon's data science competencies and acting as a key advocate for data literacy across the company\nUse advanced analytics methods to extract insights from business data\nParticipation in the delivery of a suite strategically-identified, cutting-edge data science use-cases that will cover the entire customer journey\nPerform analysis and build data-driven models to answer business questions and needs\nCreate hypotheses and experiments to identify hidden relationships to direct new Sales strategies\nDeveloping visualisations and presentations that you will use to influence key stakeholders to implement key recommendations from data science initiatives\nDevelop machine learning models with the aim to facilitate Sales processes\nWorking with other team members across Marketing/CRM, IT, Reporting & Analytics to develop operational processes, practices and pipelines\nWorking with our Data Governance function to identify opportunities and uplift data collection and quality practices\nBenefits and perks\nAttractive and competitive base salary, tools of the trade\n4 weeks annual leave + Birthday leave!\nA structured career path to help achieve your goals including potential opportunity in the future for a global assignment\nAmplifon training, career development and lots of e-learning tools\nYearly flu vaccinations\nJoin our conferences and team functions throughout the year\nAbout You\n\nDegree in quantitative fields like Mathematics, Statistics, Physics, Economics, Computing and Engineering\nA background in data science, that preferably covers both but with one mandatory;\nDigital, customer or retail data science with experience in churn analytics, sentiment analysis (including data from voice and social/ text), customer segmentation, life time value model development and supporting call centre analytics and operations\nIoT/OT based-data science preferably but not mandatorily in the power generation space with exposure to OSIsoft PI or similar OT technologies\nExpertise in management of complex structures of data\nHave a strong inclination to data analysis combined with same attention to business impacts\nPossess strong analytical skills, mathematic abilities and business acumen\nPossess critical thinking, a clear and open communication, relational and team building skills\nExcellent written and verbal communication with the ability to share information.\nExcellent knowledge of Office package, with advanced expertise in Excel (pivot, macro, statistics formulas)\nExcellent knowledge of SQL\nKnowledge of R or Python; nice to have knowledge of PowerBI, SSRS, Dataiku\nDemonstrated success in influencing stakeholders to deliver business results, sales and customer satisfaction improvements\nAble to build long-lasting relationships with customers, both internal and external, based on trust, professionalism and rapport.\nOpen minded to change and always seek to improve your way of working, knowledge and attitude\nA self-starter approach with the confidence to look beyond the “here and now” for the “what could be”\nAn alignment with company values\nA positive “can-do” attitude\nOrganised, with attention to detail\nAbility to work in a fast-paced environment, with conflicting time demands\nAbility to manage expectations & deliverables for multiple stakeholders\nIf this sounds like you, apply NOW today!\nAs an employer who embraces Equal Opportunity and promotes diversity, we encourage persons of all ages and backgrounds, including Indigenous Australians, to apply.""]"
9,['Data Scientist'],['Na'],"['We\'re growing our data science capabilities and are looking for a data scientist to join our Eliiza team in Melbourne.\n\nIn this awesome role you will work with other smart, passionate and skilled people to deliver data science products and services to clients.\n\nWith our diverse range of clients and projects, no day will look the same - but here\'s a great snapshot of what\'s some of the recent projects keeping our data science team busy:\n\nNLP - sentiment analysis - social media, chatbot data, error correction\nPrediction/Forecasting - prediction of economic growth from transaction, prediction of fraud transactions in real time, prediction of customer behaviour\nInformation extraction - satellite image analysis, facial recognition, image processing\n\nWho are we?\n\nGlad you asked! We are Eliiza. Data science. Engineered for scale.\n\nWe are a passionate team of data scientists and engineers who apply data science and machine learning to solve real-world problems. Our mission is to create a bright future for Australian businesses and society in a world increasingly influenced by intelligent technologies.\n\nWe\'ve created a culture that values diversity where people can truly be themselves! We care a lot about growing the Australian AI community in a positive direction, and we\'re doing several things to try and achieve that:\n\nWe provide opportunities for underrepresented groups to work in AI through our associate and intern programmes\nWe organise and participate in a range of community events, reading groups and meetups\nWe produce the AI Australia podcast\nWe blog about topics we care about\nWe stream brown bag sessions to the broader community\n\nWe\'re also part of Mantel Group\'s \'house of brands\' which means it\'s not just the Eliiza team you\'ll work with, learn from and see at social events - there\'s another 230 of us across DigIO, Kasna & CMD Solutions!\n\nSo you\'re ready for something new?\n\nWe\'re keen to know more about you! Our team is made up of a range of people, with different experience across a huge range of data driven skill sets.\n\nIf you\'re the right Data Scientist for us, you\'ll have:\n\nan undergraduate degree in maths or statistics, or a postgraduate in broader disciplines such as the sciences\ncommercial data science experience across different industries and organisations\nan understanding of key statistical and machine learning concepts across different areas of data science\nthe ability to manipulate complex data sets to visualise and model the data\nexperience using at least one open source data science language such as Python or R\nfundamental software engineering skills\nan awareness of relevant data and ML engineering concepts (e.g. database management, processing pipelines, and model deployment)\nconsulting experience, either with external clients or internally within an organisation\nthe ability to plan and implement the different phases of a data science project\na genuine passion for and connection to the data science and ML community\n\nHowever, we value a diverse of skill-sets, and don\'t necessarily require that you\'re skilled with all of the above. If you feel you don\'t fit all the experience/skills listed above we still encourage you to apply or get in touch.\n\nWhat\'s on offer if you join us?\n\nWe make sure you\'re always one step ahead by investing your learning and development, every year. We build our own training where it doesn\'t exist yet.\nWe hire smart people and get out of their way. By focusing on our five principles and not getting caught up in red tape, we trust you to get the job done.\nYou\'ll get all the tools you need - a new iPhone or Google phone, a new Macbook Pro or Dell, and a lot of branded swag!\n\nBut hold on, you mentioned a house of brands?\n\nWe certainly did! Mantel Group is an Australian-owned, \'house of brands\' company with four technology businesses (Eliiza being one of them!) across Melbourne and Sydney. We\'re building a group of companies with open borders so we can support you to take on new skills without leaving an awesome team - we understand you won\'t have one job for life!\n\nWe may only be just over 2 years old but Mantel Group has already been recognised #9 in the 2020 Best Places to Work in Australia and #4 in the AFR\'s 2020 fastest growing new companies.\n\nKeen to chat?\n\n\nClick ""Apply"" to share your details with our talent team, and we\'ll be in touch.\n\nIn the meantime, check out \'how we hire\' to find out what\'s in store if you\'re successful and get to know us better by visiting our website and following Eliiza on LinkedIn.']"
