,title,pay_bracket,description
0,['Service Desk Analyst'],['Na'],"[""Date: 20-Nov-2020\nLocation: Melbourne, Australia\nCompany: Singtel\nAbout the role:\n\nThe Service Desk Analyst will be based in Melbourne and have experience in a services desk environment.\n In this role you will be responsible for providing superior dedicated customer service and support to a Premium Managed customer. This role also requires a pro-active approach to customer management to ensure identification of issues and provision of solutions prior to customer enquiries.\n The role will act as a first level escalation point to drive customer issues back into Optus, using defined escalation paths. You will also have very high levels of personal and business communication, along with good time management skills.\n\nResponsibilities:\nManage our customer's requirements whilst still managing the business needs\nAccountable for driving the resolution of issues and enquiries\nManage all customer email enquiries, moves, adds or changes within nominated SLA's\nProvide first level escalation management to drive resolution if customer issues either internally or with 3rd Party Vendor. To use defined escalation paths to act utilising either Service Support Staff or CSC Management\nManagement of any mobile or other related customer hardware, as required by customer contract. This may include ordering of hardware or any follow up as required\nUnderstanding of MobileIron product capabilities and related mobile technologies\nUnderstanding Mobile concepts such as iOS, MDM, Android etc. a plus\nExperience with Smartphone concepts and capabilities a plus\n\n\nExperience & skills required:\n\nDemonstrated experience working in a Service Desk environment\nDemonstrated ability to be able to fulfil customer needs and deliver real business value to high value corporate customers.\nExperience with remote access technologies and mobile devices.\nUnderstand the drivers of Customer Satisfaction\nProven ability to perform data entry and troubleshooting with exceptionally high levels of accuracy in different processes and systems.\nHigh degree of computer literacy and the ability to learn new systems, both Optus Internal and External Customer specific as required\nConflict resolution and problem-solving skills\nDemonstrated effective communication at all levels\nExcellent networking and relationship skills\nAbility to resource information\nHigh level of organisation and prioritisation skills with the ability to delegate when necessary.\nThe ability to work under pressure and meet strict deadlines.\n\n\nOptus is a place where we let you do you. Whether you’ll be working in our corporate offices or in a retail store, we are a highly collaborative workplace, and offer a range of perks such as:\nA competitive salary\nDiscounts on products and services\nOngoing training, mentoring and development opportunities\nUp to five days of Volunteer Leave per year\nFlexible work options\nWe understand that flexibility means different things to different people. We are proud to offer a variety of options to work in different ways, such as flexible hours, remote working, job share and part-time. Please talk to us about how we can make this role work for you.\nAt Optus, we don’t sit back and let the future happen to us - we’re out there making it. By expanding into new technology and relentlessly improving every day, we’re creating a better tomorrow for all Australians. We believe in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers.\nCurious about our culture? Go behind the scenes with our people by searching #OptusLife on LinkedIn.\nDue to COVID-19 and the rise of job applicants in the market, it may take us a bit longer than usual for us to come back to you. We appreciate your understanding and patience during these unprecedented times.\nPlease no recruitment agencies, we’ll be managing this role in-house. Any resumes submitted outside of our process will be deemed the sole property of Optus.""]"
1,['Intelligence Analyst'],"['$86,558 - $98,210 a year']","[""\nUtilise your experience delivering strategic or tactical intelligence to help drive the Victorian response to COVID-19\nFixed-term opportunity in the Victorian Public Service\nVPS Grade 4: $86,558 - $98,210 per year, plus superannuation\n\nWhat will the Intelligence Analyst do?\nAs the Intelligence Analyst, you will have the primary responsibility for undertaking the collection, recording, analysis and dissemination of information, with a specific focus on High Risk Industry Engagement and Enforcement to identify potential businesses and industries creating risks or threats, and prevent outbreaks. You will also provide intelligence which supports the Operation to engage with and support industry in its efforts to improve Covid-safety.\nWithin this role, you will be a member of a small team of Intelligence specialists who ensures the High Risk Industry Engagement and Enforcement team and its stakeholders are supported with the appropriate intelligence, information and data to undertake their duties. You will make informed assessments and predictions to support decision making through reporting on high risk industry operations and outbreaks.\n\nSome of your duties will include:\n\nLead the collation, analysis, and controlled dissemination and reporting of intelligence to authorised parties, in a timely manner.\nPrepare and present intelligence briefings, and make high quality recommendations including the identification and evaluation of emerging strategic risks, opportunities, patterns and trends.\nSupport management, staff and external agencies by participating in the development and planning of intelligence-led compliance operations, which may include both engagement and enforcement activities.\n\nTo learn more about this role before applying, please read the attached position description.\nWhat's in it for you\nTo thrive in this role, you will be intrinsically motivated by the challenge of work that can change constantly and prove very difficult. You will call on your intellect and grit every day. You will take your responsibility to keep Victorians safe seriously and will be proud of a job well done.\n\nAdditionally, you will likely appreciate:\n✔\u202fFree access to mental health service\u202f– personal and confidential counselling support on personal and work-related issues.\n✔A fair salary\u202f– enjoy great work conditions and salary sacrificing options for superannuation and motor vehicles.\n✔Transparent\u202fperformance framework\u202f– approach your work with confidence in how you're tracking, working to professional development plans with performance-based salary increases.\nClick here to discover more benefits in working for the department.\nIf this job sounds like a challenge you would love to take on, then we encourage you to apply now.\n\u202fIf you have any queries, please contact Jillian Lane at sccvic.industryintel@scc.vic.gov.au\nThe Department of Justice and Community Safety is continually working towards increasing our\u202fAboriginal and Torres Strait Islander\u202f(Aboriginal) workforce. The Aboriginal Employment Team aims to attract, recruit and retain Aboriginal staff in a number of roles, including those in management. This support includes a culturally appropriate attraction and recruitment process. To learn more,\u202fclick here\u202for email\u202faboriginal.employment@justice.vic.gov.au.\nSuccessful candidates will be required to undergo pre-employment checks which may include national police checks and misconduct screening.\nApplications will be regularly reviewed up until the closing date, so please do not delay in submitting your application.""]"
2,['Data Analyst'],"['$86,558 - $98,210 a year']","[""\nUtilise your data management and analytical skills to help drive the Victorian response to COVID-19\nFixed-term opportunity in the Victorian Public Service\nVPS Grade 4: $86,558 - $98,210 per year, plus superannuation\n\nWhat will the Data Analyst do?\nReporting directly to the Manager, Reporting Analytics, the Data Analyst is responsible for undertaking and delivering data and analytics outputs as part of a project team. In this role, you will support the integration and development of a range of data sources, and play an integral role in the production of information and analytics to support the operation. The Data Analyst will work collaboratively across the broader project team, as well as develop key relationships with clients and stakeholders to ensure the delivery of quality outcomes.\nWithin this role, you will be a member of a small team of Intelligence specialists who ensures the High Risk Industry Engagement and Enforcement team and its stakeholders are supported with the appropriate intelligence, information and data to undertake their duties. You will make informed assessments and predictions to support decision making through reporting on high risk industry operations and outbreaks.\n\nSome of your duties will include:\n\nContribute to the planning, development and delivery of complex data and analytics products using a variety of government and publicly available data sources.\nSupport the ongoing development and maintenance of the operation's databases and analytic infrastructure, and the transformation of data into information products.\nDeliver timely, high-quality outcomes and deliverables against key work priorities as defined by the the Manager, Reporting Analytics and Senior Data Analyst.\n\nTo learn more about this role before applying, please read the attached position description.\nWhat's in it for you\nTo thrive in this role, you will be intrinsically motivated by the challenge of work that can change constantly and prove very difficult. You will call on your intellect and grit every day. You will take your responsibility to keep Victorians safe seriously and will be proud of a job well done.\n\nAdditionally, you will likely appreciate:\n✔\u202fFree access to mental health service\u202f– personal and confidential counselling support on personal and work-related issues.\n✔A fair salary\u202f– enjoy great work conditions and salary sacrificing options for superannuation and motor vehicles.\n✔Transparent\u202fperformance framework\u202f– approach your work with confidence in how you're tracking, working to professional development plans with performance-based salary increases.\nClick here to discover more benefits in working for the department.\nIf this job sounds like a challenge you would love to take on, then we encourage you to apply now.\n\u202fIf you have any queries, please contact Cathy Bennett at Cathy.Bennett@justice.vic.gov.au\n\u202fThe Department of Justice and Community Safety is continually working towards increasing our\u202fAboriginal and Torres Strait Islander\u202f(Aboriginal) workforce. The Aboriginal Employment Team aims to attract, recruit and retain Aboriginal staff in a number of roles, including those in management. This support includes a culturally appropriate attraction and recruitment process\nTo learn more,\u202fclick here\u202for email\u202faboriginal.employment@justice.vic.gov.au.\nSuccessful candidates will be required to undergo pre-employment checks which may include national police checks and misconduct screening.\nApplications will be regularly reviewed up until the closing date, so please do not delay in submitting your application.""]"
3,"['Analyst, Reporting & Governance']",['Na'],"[""Number of vacancies available: 2 Office Location(s): Working Remotely From Home Position Summary:\nThe Analyst, Reporting and Governance roles are primarily responsible for supporting the CEL Planning team for coordinating internal and external reporting requirements, risk management and ad-hoc analysis and project management support. With demonstrated experience in operational reporting, data analysis, risk analysis and project management support, you will work proactively and collaboratively with CEL and DHHS stakeholders to deliver the CEL Planning team's outcomes.\n\nHow to Apply:\nApplicants are encouraged to apply online, submitting a cover letter and a current resume. Please note:\nFor this role, you are not required to address each of the key selection criteria in a separate written document. Applicants are strongly encouraged to review our Careers Page. This page provides information on the department's recruitment and pre-employment screening processes. Preferred candidates will be required to complete pre-employment screening, including a national police check and misconduct screening.\nClick 'Apply Now' below to submit your interest in this role. For further information please visit the Department of Health and Human Services website: https://www.dhhs.vic.gov.au/\nApplicants must be an Australian Citizen, Permanent Resident or hold a valid work permit or visa. Work eligibility will be checked as part of the recruitment process.""]"
4,['Business Analyst'],['Na'],"['The Department of Premier and Cabinet (DPC) is transforming ways of working and its digital communication to help Victorians find, access, understand and apply government information to their circumstance.\nThe Digital, Design and Innovation branch within DPC focuses on delivering digital projects, accessible open data, information services, website content and social media strategies, as well as managing products used across the Whole of Victorian Government.\nDigital, Design and Innovation runs multiple projects of varying size simultaneously in an innovative, collaborative and agile environment. As Senior Business Analyst in the API Team you will work with an incredibly wide variety of Victorian Government entities and external vendors to understand, document and guide API integrations from concept through planning, design, build and implementation.\nYou will also play a key role in guiding and educating technical and non-technical stakeholders on the capabilities of APIs, the technology and services we provide, industry best practices, and ensure that a LEAN approach to development and solutioning is positioned at all times.\nThe DDI team values systems thinking, pragmatic problem solving, initiative and resourcefulness. Above all we value curiosity, passion, creativity and innovation in the way things are done.\nWorking with us, you can make a difference not just in your career, but in the community where you work and live.\nPlease note: Due to COVID-19 restrictions, working remotely arrangements are in place.\nThe closing date for this position is midnight, Tuesday 17 November 2020.\nThis position is only open to applicants with relevant rights to work in Australia.\n\nHow to apply:\nApply before the advertised closing date, all applications should include:\n\n\na resume\na cover letter which addresses the key selection criteria (within three pages)\n\nOther relevant information:\nPreferred candidates will be required to complete a Pre-employment Declaration and Consent form. Employment of successful candidates will be subject to a National Police Check.\nDPC actively promotes diversity, inclusion and an equal opportunity workplace. We welcome applicants from all diverse backgrounds, including Aboriginal and Torres Strait Islander peoples and people with disabilities. All roles at DPC can be worked flexibly, however it may differ from role to role.']"
5,"['Analyst, Investment Compliance']",['Na'],"[""Work type: Fixed-term Full time\nReports to: Grant McAuliffe\nView Role purpose statement\n\nWork with one of Australia’s largest Asset Services provider\nUtilise your analytic ability, financial securities knowledge & relationship skills\nInitially a 12 month contract role with the possibility for extension\n\nYour new role awaits:\n\nOur Investment Compliance Team are looking for an Analyst to prepare and deliver Investment Compliance reports to NAB’s Superannuation, Insurance and Fund Manager clients. As part of a small dedicated team you will be focused on the daily challenge of investment breach investigation and investment reporting for some of the largest and leading financial institutions in Australia.\n\nCentral to the role, there are two key areas of focus:\n\nInvestment Compliance: Prepare investment compliance reports on exception rule basis, reconcile mandate compliance and benchmark data and ensure the integrity of the data\nTimely and accurate resolution of compliance exceptions through the interaction with internal (cross department) and external (Fund Managers, Superannuation clients, Asset Consultants etc) stakeholders to resolve issues/ queries as they arise\n\nAdditionally, with your ability to interpret investment mandate rules and knowledge of financial market instruments you will set up and maintain rules within the compliance system. Drawing from your experience gained to date in the investment management, superannuation, wealth management or custody markets, this role offers a great opportunity to continue building upon your hands on technical knowledge across functional markets.\n\nWe recognise this opportunity is likely to be part of a larger journey within your financial markets career and we're happy to say that we will support your ambitions with studying for your CFA.\n\nYour team:\n\nOur team highly appreciate like-minded team members who are keen to develop and broaden their expertise, whilst valuing the hard work and providing exceptional service to our customers. This team sits within our Corporate and Institutional Bank and Asset Services specifically provides Custody, Master Custody, Investment Administration and other related services to a range of locally and internationally domiciled clients, including federal and state government agencies and superannuation funds, investment managers, corporate and industry superannuation funds, brokers/dealers and institutional banks. Our business consists of dynamic, industry leading SMEs who support aspirational rising stars.\n\nWhy NAB?\n\nOur operations and leadership team is Melbourne based which means all critical decisions are made right here in Melbourne, in real time, on local time. Unlike many other industry roles, this opportunity will provide significant exposure to large Australian institutional fund managers and superannuation funds providing you with wider industry insights.\n\nIf you think this role is the right fit for you, we invite you to apply. We’d love to share our vision for the future of banking.\n\nTo be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status. Please note candidate screening methodologies and interviews may be conducted prior to the closing date of the job advert.\n\n*Please note unsolicited CVs from agencies will not be accepted*.""]"
6,['Analyst'],['Na'],"[""\nStart your career in Property!\nA varied and stimulating role with excellent property exposure\nBased in our Mulgrave office\n\nAbout us:\nAt Knight Frank Australia we achieve exceptional results for our clients through a combination of expertise, innovation, and a personalised approach. Our culture of high performance and genuine warmth allows us to strike the right balance - and that makes all the difference. As a member of a global network, we are a 700-strong national team who apply local, national, global insights effectively for our clients. We celebrate the individuality of our people, and we collaborate effectively to deliver the best solutions.\n\nThe role:\nWe have a great opportunity for a motivated and passionate candidate to join our Victorian Investment Sales team as a Property Analyst.\nThis role will foster your development in the property industry, keep you abreast of market activity and give you scope to really take ownership and make it your own.\nYou will provide support to our team of sales operatives with a focus on property and sales analysis including database management, and sourcing & analysing information from a range of channels, to assisting with the coordination of submissions and campaigns; you can be sure no two days will be the same!\n\nKey tasks:The role will include, but is not limited to:\n\nEffective CRM management\nCollect, collate and distribute Income and Projection reports\nCoordinating communications between departments, clients, external agencies and suppliers\nConducting research, financial & market analysis to support the transaction process\nAssisting with the coordination of sales campaigns including submissions, preparation of marketing material, reports and presentations\nAttending client meetings and site visits, taking minutes and action points\nMaintaining our online advertisements\nCoordinating property settlements and fee invoicing\n\nWho we are looking for?\nYou don't need to be a whiz on analytics but do need to have a logical mind, be able to pre-empt information required and excellent communication skills.\n\n\nRelevant tertiary qualifications in the property industry, either complete or near completion\nProperty experience (ideal)\nIntermediate research and analytical skills\nIntermediate to advanced level in core Microsoft packages, particularly PowerPoint and Excel\nThe ability to build effective relationships at all levels\nFlexibility and the willingness to work as part of a high-performance team\nCapable of managing multiple projects simultaneously and work to deadlines\n\nA genuine interest in the property industry is a must, but above all you should be able to demonstrate a strong work ethic and have a desire to contribute to the success of the business.\nWhat's in it for you?\n\n\nKnight Frank Australia will be your platform to rise and do your best work - we are a diverse collection of experts, problem solvers, innovators and high performers. We believe we are at our best when we work together.\nCompetitive remuneration package\nFlexible working opportunities, purchase leave, volunteering leave and paid parental leave\nOpportunity to develop your skillset through digital learning over 300 courses, mentoring program, on-the-job learning\n\nApplicants with Australian working rights need only apply.\nNo Agencies please.""]"
7,"['BCMA Investment Banking, Full Time Analyst, Melbourne - Australia']",['Na'],"[""You're the brains behind our work.\nCiti's Institutional Clients Group (ICG) is looking for full-time Analyst to join the Investment Banking team in Melbourne, Australia. The Investment Banking group advises corporate clients who want to raise funds in capital markets and who need strategic support in financial transactions. Initiatives you may be working on with clients include mergers; acquisitions; divestitures; financial restructurings; underwriting; and distributing equity; debt; and derivative securities.""]"
8,['Data Analyst'],"['$91,334 - $114,165 a year']","['\nFull time, maximum term position up to 12 months\nSalary commensurate with experience, range: $91,334 - $114,165 plus superannuation\nAttractive employee benefits including salary packaging\n\nAbout the role: An excellent opportunity to join an in-house business intelligence team and contribute to the development and review of strategy at Victoria Legal Aid (VLA) through the use of data analysis, visualisation and presentation.Part of a collaborative and hands on in-house data team, you will work with key stakeholders across the business to develop and implement new reporting, dashboards and ad-hoc analysis and be part of the roll out of these solutions across the organisation.This role presents a rare opportunity to use your knowledge and expertise in data analysis and business intelligence, to make a real impact in an organisation that is committed to improving and developing its use and management of data.About you: You are an experienced data analyst professional with a passion for helping organisations to better use data and analysis in their strategy and decision making. You will have strong communication skills, experience working with a variety of stakeholders and will bring along a collaborative approach to working with your immediate team as you assist users across the business to leverage VLAs investment in data.\nYou will have a track record of responding to organisational needs for analytical models or ad hoc data requests, often working with complex data. You will have a working knowledge of SQL and be familiar with visualising results and presenting your work in Tableau, Power BI or similar toolsVital to your success in this role is your ability to work collaboratively in a team, your experience and understanding of working with contemporary data modelling and design approaches and your commitment to assisting others get the most out of their use of data.About Victoria Legal Aid: Our vision is for a fair and just society where rights and responsibilities are upheld. With over 800 staff employed in 15 offices across Victoria, we help people with their legal problems by providing information, advice and education with a focus on the prevention and early resolution of legal problems. We also provide legal representation to those who need it most.Employee benefits: We offer attractive employment benefits including salary packaging (making part of your salary tax-free), flexible working arrangements, family friendly policies and opportunities for professional development. Whilst the work is challenging, you will be rewarded with a culture that is focused on achieving quality outcomes for disadvantaged Victorians.How to apply: Submit a current resume and completed candidate application form (listed within the file attachments as a word document). You must complete the candidate application form to be considered for this role, separate responses to the KSC outlined in the position description are not required. Please also include the contact details of two referees.To protect your safety and the health and safety of our staff, interviews for this role will take place online. If shortlisted for an interview you will be provided with further information about the process.For further information review the attached position description or contact Kerryn Muscat, Acting Manager, Reporting on (03) 9269 0628.No agency applications will be accepted.Applications close by 11.59pm on Sunday 29 November 2020.']"
9,['Vulnerability Threat Analyst'],['Na'],"[""About Us\n\nThe Endeavour Drink's ambition is bold, we want to be the world's best drinks retailer. We know that expectations of retail have never been higher so our transactions must be instant, and our services must be intuitive and personal. We are embarking on our next generation of growth, and we want you to be an influential part of it.\n\nOur family of leading brands is well respected and highly visible throughout Australia, New Zealand and the world; from Dan Murphy’s, our market leading destination drinks merchant, to our local convenience offering at BWS, and our Cellarmaster wines and Langtons businesses with each of them commanding a leadership position in their respective category.\n\nAbout the Role:\n\nAs our Vulnerability Threat Analyst you will identify, triage and manage cybersecurity vulnerabilities within the Endeavour group and its banners. This is an internally facing role where you will manage relationships with stakeholders to ensure the optimal management ofcybersecurity-related vulnerabilities for 80% of the role.\n\nThe role will also be trained in Operational cybersecurity, to act as required in relation to cybersecurity incident response. The Operational element will be approximately 20% of the role.\n\n\nWhat will you do?\n20% of the role will be the triage of line 1 security events and escalation to the Line two service of any validated events.\nProvide advice on the exposure and probability of exploitation of vulnerabilities in the EGL IT Landscape.\nMaintain and evolve the EGL vulnerability exposure to ensure the organisation operates within an acceptable cyber risk appetite and risk to transactional elements is mitigated to ensure service availability.\nEstablish and maintain an internal team and set of internal relationships in support of the Cyber Security Strategy.\nWork across the IT and trading teams to ensure appropriate focus on Vulnerability threat remediation and appropriate priorities\nDrive continuous improvement via data analysis of vulnerability findings.\n\n\nWorking with peers and reporting to the Chief Information Security Officer the identification, triage and management of cybersecurity vulnerabilities for EGL, covering;\nNetwork equipment\nEnd-user computing\nCloud computing\nHosting and storage\nBuilding HVAC\nIOT\n\n\nAbout you:\nYou are innovative and enjoy working on greenfield projects and can manage relationships with stakeholders at all levels and have demonstrated experience of business processess and systems.\n\nRelevant tertiary qualification or equivalent experienceExperience in conflict resolution and management.\nUnderstanding of applicable threats and tactics.\nUnderstanding of vulnerability threat analysis tools and techniques.\nRelationship building capability with experience of dealing with people at all levels and across cultures\nUnderstanding of the technology landscape and who/how to engage\nConflict Management and Negotiation Skills\nGrow with Endeavour Drinks\n\nEndeavour Drinks comprises a diverse range of drinks businesses including BWS, Dan Murphy’s, ALH and Pinnacle Drinks. We are focused on growing and transforming our businesses to meet the changing needs of customers and we’re driven by a culture that puts our customers and team first. Our ambition is to connect everyone with a drinks experience they'll love.\nAs an inclusive, team-first company, our people are at the core of everything we do.\n\nWe care deeply about creating a workplace where our team members feel valued, respected and empowered. We are committed to providing equal opportunity regardless of gender identity, ethnicity, disability or sexual orientation and we are proud to be recognised as a Gold Tier Employer in the Australian Workplace Equality Index for LGBTQ+ inclusion.\nWe value flexibility, and encourage our team members to work in ways that meet their work/life commitments and support their wellbeing.\n\nWe work hard to create a safe and inclusive environment for all, and most importantly, we're all about creating better experiences – for our customers and for each other.\n\nWe’d love to hear from You\nIf you meet a number of the requirements, but not all, we encourage you to submit your application. You can follow us on LinkedIn or see more opportunities via www.wowcareers.com.au.""]"
